Member_number,Date,productId,items,productName,price,Category
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food
2489,2015-05-04,2,3,whole milk,1.8,Dairy
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal
4092,2015-09-30,26,1,berries,10.8,Fresh Food
3221,2015-01-13,45,2,curd,9.8,Dairy
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food
2581,2015-08-22,38,3,soda,0.8,Beverages
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets
4760,2015-02-22,25,3,canned beer,1.1,Beverages
3649,2015-01-16,25,3,canned beer,1.1,Beverages
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food
4106,2015-08-25,2,3,whole milk,1.8,Dairy
4338,2015-06-24,2,2,whole milk,1.8,Dairy
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food
3928,2015-07-18,16,3,butter milk,6.1,Dairy
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food
3028,2015-06-09,19,2,sausage,3.1,Fresh Food
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets
4417,2015-02-25,40,3,grapes,9.4,Fresh Food
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food
2288,2015-05-31,27,1,coffee,8.5,Beverages
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets
4554,2015-08-27,2,3,whole milk,1.8,Dairy
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food
2999,2015-04-17,8,1,beef,19.5,Fresh Food
2614,2015-06-25,2,3,whole milk,1.8,Dairy
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food
2587,2015-05-07,25,2,canned beer,1.1,Beverages
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food
1923,2015-02-14,49,2,beverages,1.1,Beverages
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food
1514,2015-08-24,2,2,whole milk,1.8,Dairy
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food
2794,2015-07-18,29,2,ham,15.2,Fresh Food
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food
2238,2015-03-09,45,2,curd,9.8,Dairy
3795,2015-01-17,50,3,bottled beer,1.8,Beverages
3724,2015-11-26,45,2,curd,9.8,Dairy
1152,2015-03-05,2,3,whole milk,1.8,Dairy
4559,2015-03-16,2,1,whole milk,1.8,Dairy
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets
1709,2015-04-22,19,2,sausage,3.1,Fresh Food
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food
2206,2015-10-17,29,1,ham,15.2,Fresh Food
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food
3296,2015-08-17,38,2,soda,0.8,Beverages
2257,2015-02-05,37,1,herbs,6.5,Fresh Food
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets
2449,2015-07-08,45,3,curd,9.8,Dairy
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food
4187,2015-05-09,52,3,dog food,12.6,Pet Care
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets
3427,2015-04-28,45,2,curd,9.8,Dairy
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food
3390,2015-11-14,38,1,soda,0.8,Beverages
4787,2015-08-01,8,3,beef,19.5,Fresh Food
3310,2015-01-17,25,2,canned beer,1.1,Beverages
1782,2015-10-10,23,3,pork,7.2,Fresh Food
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food
2760,2015-01-07,19,2,sausage,3.1,Fresh Food
4249,2015-09-13,25,1,canned beer,1.1,Beverages
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets
4090,2015-02-26,45,2,curd,9.8,Dairy
3060,2015-07-05,25,1,canned beer,1.1,Beverages
3768,2015-10-07,2,2,whole milk,1.8,Dairy
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets
1360,2015-10-23,23,3,pork,7.2,Fresh Food
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets
2448,2015-07-12,11,1,butter,3.2,Dairy
1222,2015-09-24,54,1,condensed milk,3.5,Dairy
2943,2015-06-20,19,1,sausage,3.1,Fresh Food
2270,2015-08-11,2,3,whole milk,1.8,Dairy
3812,2015-07-21,19,1,sausage,3.1,Fresh Food
1482,2015-11-22,49,2,beverages,1.1,Beverages
4720,2015-02-22,49,2,beverages,1.1,Beverages
1344,2015-09-04,17,2,bottled water,0.5,Beverages
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene
4487,2015-07-10,19,1,sausage,3.1,Fresh Food
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal
2443,2015-11-15,19,3,sausage,3.1,Fresh Food
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages
4389,2015-04-13,56,2,white wine,14.2,Beverages
1674,2015-12-04,19,1,sausage,3.1,Fresh Food
4262,2015-10-16,57,2,meat,8.5,Fresh Food
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food
2460,2015-09-28,25,3,canned beer,1.1,Beverages
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food
2267,2015-07-03,57,3,meat,8.5,Fresh Food
4891,2015-09-05,2,1,whole milk,1.8,Dairy
3962,2015-09-20,19,3,sausage,3.1,Fresh Food
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food
2914,2015-11-30,57,1,meat,8.5,Fresh Food
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food
3808,2015-08-18,2,2,whole milk,1.8,Dairy
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food
2620,2015-12-14,19,3,sausage,3.1,Fresh Food
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food
1226,2015-04-13,59,1,hard cheese,4.5,Dairy
1395,2015-03-07,60,3,cream cheese,6.3,Dairy
2465,2015-06-07,30,3,turkey,12.5,Fresh Food
3572,2015-07-09,23,3,pork,7.2,Fresh Food
4387,2015-05-08,2,2,whole milk,1.8,Dairy
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets
1181,2015-11-16,19,3,sausage,3.1,Fresh Food
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food
2794,2015-09-16,61,3,liquor,8.5,Beverages
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food
2235,2015-10-25,38,3,soda,0.8,Beverages
2353,2015-05-02,38,2,soda,0.8,Beverages
3449,2015-03-08,19,1,sausage,3.1,Fresh Food
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food
1027,2015-05-17,23,1,pork,7.2,Fresh Food
3302,2015-05-22,23,1,pork,7.2,Fresh Food
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food
1649,2015-06-30,17,2,bottled water,0.5,Beverages
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food
2703,2015-05-08,25,3,canned beer,1.1,Beverages
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food
2473,2015-07-01,57,1,meat,8.5,Fresh Food
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food
1507,2015-06-22,10,1,chicken,7.2,Fresh Food
2870,2015-01-21,10,3,chicken,7.2,Fresh Food
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food
4148,2015-04-09,25,1,canned beer,1.1,Beverages
2970,2015-12-30,30,1,turkey,12.5,Fresh Food
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food
3935,2015-07-02,19,2,sausage,3.1,Fresh Food
3283,2015-05-01,2,1,whole milk,1.8,Dairy
3268,2015-11-06,25,3,canned beer,1.1,Beverages
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food
2440,2015-06-06,19,3,sausage,3.1,Fresh Food
4088,2015-01-13,10,2,chicken,7.2,Fresh Food
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food
4229,2015-03-06,19,3,sausage,3.1,Fresh Food
2728,2015-08-02,8,1,beef,19.5,Fresh Food
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal
3656,2015-03-02,8,2,beef,19.5,Fresh Food
3720,2015-05-28,19,2,sausage,3.1,Fresh Food
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food
1949,2015-07-22,25,1,canned beer,1.1,Beverages
4498,2015-02-11,50,1,bottled beer,1.8,Beverages
2447,2015-12-28,66,1,onions,1.3,Fresh Food
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food
4099,2015-01-27,17,2,bottled water,0.5,Beverages
1804,2015-03-12,8,1,beef,19.5,Fresh Food
1510,2015-05-16,19,3,sausage,3.1,Fresh Food
2879,2015-04-18,67,3,hair spray,5.4,Personal Care
4899,2015-03-12,10,1,chicken,7.2,Fresh Food
4326,2015-09-29,23,1,pork,7.2,Fresh Food
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food
1117,2015-05-24,57,3,meat,8.5,Fresh Food
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food
1178,2015-11-15,17,3,bottled water,0.5,Beverages
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene
4243,2015-04-02,19,2,sausage,3.1,Fresh Food
4429,2015-07-21,40,2,grapes,9.4,Fresh Food
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food
3006,2015-12-27,10,2,chicken,7.2,Fresh Food
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food
3236,2015-07-04,26,3,berries,10.8,Fresh Food
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food
4392,2015-11-28,29,2,ham,15.2,Fresh Food
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food
1723,2015-09-02,18,3,yogurt,2.2,Dairy
4110,2015-03-30,38,1,soda,0.8,Beverages
2600,2015-01-28,18,1,yogurt,2.2,Dairy
2946,2015-10-07,38,1,soda,0.8,Beverages
2426,2015-09-08,17,3,bottled water,0.5,Beverages
4170,2015-05-03,19,3,sausage,3.1,Fresh Food
1109,2015-04-06,7,1,citrus fruit,1.5,Fresh Food
3429,2015-01-04,71,1,shopping bags,5.12,Household & Hygiene
2055,2015-02-04,44,2,newspapers,3.2,Specialty & Seasonal
2480,2015-09-20,9,1,frankfurter,5.5,Fresh Food
2441,2015-05-30,19,2,sausage,3.1,Fresh Food
1054,2015-10-04,9,1,frankfurter,5.5,Fresh Food
4818,2015-01-11,72,2,salt,0.7,Pantry Staples
3379,2015-01-21,73,3,oil,3.4,Pantry Staples
3939,2015-02-10,45,1,curd,9.8,Dairy
1367,2015-08-05,4,1,other vegetables,0.8,Fresh Food
1043,2015-01-10,7,1,citrus fruit,1.5,Fresh Food
2231,2015-10-17,9,1,frankfurter,5.5,Fresh Food
3235,2015-12-28,22,2,root vegetables,1.8,Fresh Food
4554,2015-07-16,1,1,tropical fruit,7.8,Fresh Food
3245,2015-01-24,8,3,beef,19.5,Fresh Food
2996,2015-05-19,26,3,berries,10.8,Fresh Food
2507,2015-01-05,25,1,canned beer,1.1,Beverages
4186,2015-10-25,74,3,whipped/sour cream,5.5,Dairy
3929,2015-04-28,22,1,root vegetables,1.8,Fresh Food
3760,2015-11-22,2,1,whole milk,1.8,Dairy
4928,2015-08-18,8,3,beef,19.5,Fresh Food
4217,2015-12-18,75,1,frozen vegetables,2.5,Frozen & Processed Food
1174,2015-02-11,5,3,rolls/buns,1.2,Bakery & Sweets
4103,2015-06-19,2,2,whole milk,1.8,Dairy
4408,2015-03-13,2,1,whole milk,1.8,Dairy
2588,2015-12-28,7,2,citrus fruit,1.5,Fresh Food
2598,2015-11-11,24,3,pastry,3.1,Bakery & Sweets
1518,2015-12-11,9,2,frankfurter,5.5,Fresh Food
2702,2015-04-08,1,2,tropical fruit,7.8,Fresh Food
1001,2015-01-20,9,3,frankfurter,5.5,Fresh Food
2270,2015-09-30,26,2,berries,10.8,Fresh Food
2838,2015-11-10,5,2,rolls/buns,1.2,Bakery & Sweets
1683,2015-05-26,22,3,root vegetables,1.8,Fresh Food
4040,2015-04-03,18,2,yogurt,2.2,Dairy
3897,2015-08-23,4,3,other vegetables,0.8,Fresh Food
2200,2015-03-11,26,2,berries,10.8,Fresh Food
4073,2015-01-29,26,3,berries,10.8,Fresh Food
3700,2015-04-19,4,3,other vegetables,0.8,Fresh Food
3973,2015-06-10,5,2,rolls/buns,1.2,Bakery & Sweets
2715,2015-07-06,29,2,ham,15.2,Fresh Food
3967,2015-11-23,2,2,whole milk,1.8,Dairy
4002,2015-09-03,1,1,tropical fruit,7.8,Fresh Food
2962,2015-03-01,17,1,bottled water,0.5,Beverages
4340,2015-12-25,16,1,butter milk,6.1,Dairy
2092,2015-11-06,44,3,newspapers,3.2,Specialty & Seasonal
3143,2015-05-24,27,2,coffee,8.5,Beverages
2209,2015-10-03,50,3,bottled beer,1.8,Beverages
2816,2015-08-22,66,1,onions,1.3,Fresh Food
2659,2015-06-01,21,2,hamburger meat,12.3,Fresh Food
1588,2015-10-13,19,3,sausage,3.1,Fresh Food
1144,2015-10-15,59,2,hard cheese,4.5,Dairy
2166,2015-12-10,19,3,sausage,3.1,Fresh Food
3300,2015-10-06,21,2,hamburger meat,12.3,Fresh Food
3944,2015-01-03,66,1,onions,1.3,Fresh Food
4979,2015-04-24,27,1,coffee,8.5,Beverages
2630,2015-01-21,71,2,shopping bags,5.12,Household & Hygiene
4240,2015-04-29,18,3,yogurt,2.2,Dairy
2357,2015-07-08,38,1,soda,0.8,Beverages
1743,2015-04-18,76,1,sliced cheese,4.2,Dairy
2331,2015-02-15,19,1,sausage,3.1,Fresh Food
1643,2015-04-28,18,2,yogurt,2.2,Dairy
1291,2015-03-20,69,2,domestic eggs,1.25,Fresh Food
3675,2015-07-04,2,3,whole milk,1.8,Dairy
4134,2015-11-06,57,3,meat,8.5,Fresh Food
1363,2015-06-21,77,3,dish cleaner,2.5,Household & Hygiene
4212,2015-05-01,4,2,other vegetables,0.8,Fresh Food
1500,2015-03-21,2,2,whole milk,1.8,Dairy
2622,2015-10-01,4,3,other vegetables,0.8,Fresh Food
3543,2015-03-18,1,3,tropical fruit,7.8,Fresh Food
2525,2015-05-24,78,2,baking powder,1.8,Pantry Staples
1264,2015-10-12,15,3,specialty bar,5.2,Bakery & Sweets
3601,2015-07-06,58,1,ice cream,1.8,Frozen & Processed Food
1771,2015-03-23,9,2,frankfurter,5.5,Fresh Food
4694,2015-02-06,25,3,canned beer,1.1,Beverages
1122,2015-12-21,17,2,bottled water,0.5,Beverages
3507,2015-08-12,4,1,other vegetables,0.8,Fresh Food
4524,2015-04-26,7,2,citrus fruit,1.5,Fresh Food
3612,2015-09-27,19,2,sausage,3.1,Fresh Food
3262,2015-06-11,69,2,domestic eggs,1.25,Fresh Food
1897,2015-01-25,23,2,pork,7.2,Fresh Food
1656,2015-10-30,79,1,specialty cheese,12.14,Dairy
3953,2015-01-10,23,2,pork,7.2,Fresh Food
1488,2015-06-21,8,2,beef,19.5,Fresh Food
1652,2015-03-17,4,3,other vegetables,0.8,Fresh Food
4953,2015-09-16,10,2,chicken,7.2,Fresh Food
3445,2015-04-30,38,3,soda,0.8,Beverages
3180,2015-03-15,2,1,whole milk,1.8,Dairy
4934,2015-09-06,5,1,rolls/buns,1.2,Bakery & Sweets
2980,2015-04-27,50,1,bottled beer,1.8,Beverages
2763,2015-02-13,22,1,root vegetables,1.8,Fresh Food
4819,2015-03-04,24,3,pastry,3.1,Bakery & Sweets
3169,2015-07-02,26,2,berries,10.8,Fresh Food
1850,2015-03-11,7,1,citrus fruit,1.5,Fresh Food
4285,2015-12-29,2,2,whole milk,1.8,Dairy
4366,2015-08-13,38,3,soda,0.8,Beverages
2253,2015-06-16,17,3,bottled water,0.5,Beverages
3398,2015-03-11,1,3,tropical fruit,7.8,Fresh Food
2215,2015-07-22,80,1,salty snack,0.5,Snacks
3737,2015-03-03,17,2,bottled water,0.5,Beverages
2649,2015-11-28,14,2,chocolate,11.5,Bakery & Sweets
3203,2015-08-07,7,2,citrus fruit,1.5,Fresh Food
4261,2015-02-16,17,3,bottled water,0.5,Beverages
2435,2015-07-17,66,1,onions,1.3,Fresh Food
2046,2015-08-21,51,3,dessert,1.15,Bakery & Sweets
4267,2015-02-11,8,3,beef,19.5,Fresh Food
1086,2015-12-28,5,2,rolls/buns,1.2,Bakery & Sweets
1992,2015-01-04,8,3,beef,19.5,Fresh Food
3622,2015-07-26,38,2,soda,0.8,Beverages
4700,2015-06-27,27,1,coffee,8.5,Beverages
2272,2015-05-16,5,2,rolls/buns,1.2,Bakery & Sweets
1663,2015-05-19,23,1,pork,7.2,Fresh Food
2519,2015-06-03,38,2,soda,0.8,Beverages
2639,2015-10-30,19,3,sausage,3.1,Fresh Food
1466,2015-04-19,8,3,beef,19.5,Fresh Food
4122,2015-10-23,2,1,whole milk,1.8,Dairy
3598,2015-04-15,23,1,pork,7.2,Fresh Food
3097,2015-08-10,26,1,berries,10.8,Fresh Food
1873,2015-09-19,19,2,sausage,3.1,Fresh Food
1537,2015-02-01,17,2,bottled water,0.5,Beverages
3960,2015-03-25,1,1,tropical fruit,7.8,Fresh Food
1136,2015-06-15,37,3,herbs,6.5,Fresh Food
2453,2015-12-21,18,2,yogurt,2.2,Dairy
1746,2015-02-15,81,2,Instant food products,0.6,Frozen & Processed Food
3572,2015-06-09,53,2,specialty chocolate,18.8,Bakery & Sweets
3246,2015-06-24,27,1,coffee,8.5,Beverages
3207,2015-11-26,50,1,bottled beer,1.8,Beverages
1042,2015-02-12,8,1,beef,19.5,Fresh Food
1176,2015-03-30,2,1,whole milk,1.8,Dairy
3054,2015-02-23,9,1,frankfurter,5.5,Fresh Food
